Time,Distance,Corr Speed,Math G Force Lat Corr
90.41,4550.31,266.55,-0.01
90.47,4555.44,267.03,0.04
90.53,4560.57,267.24,0.06
90.61,4565.7,267.45,0.12
90.67,4570.83,268.02,0.07
90.73,4575.96,268.35,0.07
90.81,4581.09,268.38,0.02
90.89,4586.22,268.98,-0.025
90.95,4591.35,268.92,-0.02
91.01,4596.48,269.64,-0.01
91.09,4601.61,269.61,0.01
