# x_m,y_m,w_tr_right_m,w_tr_left_m
676.19528,-110.645774,7.713,7.012
674.172325,-115.2343,7.626,6.946
673.376562,-120.038802,7.79,7.028
673.972509,-124.905708,7.926,7.097
675.270564,-129.770551,7.866,7.081
676.698625,-134.598333,7.805,7.064
678.179856,-139.392007,7.745,7.048
679.701506,-144.159436,7.685,7.032
681.250824,-148.908485,7.624,7.015
682.815056,-153.647018,7.564,6.999
684.381452,-158.382899,7.504,6.983
685.937259,-163.123993,7.444,6.966
687.469726,-167.878162,7.383,6.95
688.96942,-172.651441,7.323,6.934
690.450092,-177.43707,7.263,6.917
691.935371,-182.222839,7.202,6.901
693.448927,-186.996516,7.142,6.885
695.013534,-191.746287,7.082,6.868
696.621025,-196.474825,7.022,6.852
698.225078,-201.202663,6.961,6.836
699.777016,-205.951435,6.901,6.819
701.227884,-210.742398,6.841,6.803
702.519143,-215.583851,6.608,6.954
703.580498,-220.468192,6.315,7.163
704.340932,-225.386844,6.217,7.068
704.729429,-230.331232,6.373,6.579
704.705611,-235.292867,6.529,6.09
704.34185,-240.263576,6.373,6.294
703.736448,-245.235261,6.188,6.564
702.987706,-250.199822,6.11,6.625
702.177096,-255.150983,6.133,6.489
701.324591,-260.089117,6.156,6.353
700.436126,-265.016119,6.18,6.218
699.517638,-269.933882,6.384,6.322
698.575061,-274.844299,6.457,6.382
697.614332,-279.749266,6.472,6.402
696.641385,-284.650674,6.487,6.422
695.662156,-289.550419,6.501,6.442
694.682324,-294.45031,6.516,6.463
693.704193,-299.35107,6.531,6.483
692.727699,-304.252657,6.546,6.503
691.752725,-309.155011,6.561,6.523
690.779157,-314.058075,6.576,6.544
689.806879,-318.961789,6.59,6.564
688.835775,-323.866095,6.605,6.584
687.865731,-328.770933,6.62,6.604
686.896631,-333.676247,6.635,6.625
685.928359,-338.581976,6.65,6.645
684.960801,-343.488062,6.664,6.665
683.99384,-348.394446,6.679,6.685
683.027362,-353.30107,6.694,6.706
682.061251,-358.207876,6.709,6.726
681.095391,-363.114803,6.724,6.746
680.129668,-368.021794,6.738,6.766
679.163967,-372.92879,6.753,6.787
678.198182,-377.835739,6.768,6.807
677.232288,-382.742626,6.783,6.827
676.266286,-387.649453,6.798,6.847
675.300181,-392.556222,6.812,6.868
674.333974,-397.462934,6.827,6.888
673.367669,-402.369592,6.842,6.908
672.401268,-407.276196,6.857,6.928
671.434776,-412.182748,6.872,6.949
670.468194,-417.089251,6.886,6.969
669.501526,-421.995705,6.901,6.989
668.534774,-426.902113,6.916,7.009
667.567942,-431.808475,6.931,7.03
666.601033,-436.714795,6.946,7.05
665.634049,-441.621073,6.96,7.07
664.666993,-446.52731,6.975,7.09
663.699869,-451.43351,6.99,7.111
662.73268,-456.339672,7.005,7.131
661.765428,-461.2458,7.02,7.151
660.798116,-466.151894,7.034,7.171
659.830747,-471.057957,7.049,7.191
658.863325,-475.96399,7.064,7.212
657.895852,-480.869994,7.079,7.232
656.928331,-485.775971,7.094,7.252
655.960765,-490.681924,7.109,7.272
654.993158,-495.587853,7.123,7.293
654.025511,-500.49376,7.138,7.313
653.057829,-505.399647,7.153,7.333
652.090114,-510.305516,7.168,7.353
651.122368,-515.211368,7.183,7.374
650.154596,-520.117205,7.197,7.394
649.186799,-525.023028,7.212,7.414
648.218982,-529.92884,7.227,7.434
647.251146,-534.834641,7.242,7.455
646.283295,-539.740434,7.257,7.475
645.315432,-544.64622,7.271,7.495
644.347559,-549.552001,7.286,7.515
643.379681,-554.457779,7.301,7.536
642.411799,-559.363554,7.316,7.556
641.443916,-564.26933,7.331,7.576
640.476037,-569.175107,7.345,7.596
639.508162,-574.080887,7.36,7.617
638.540297,-578.986671,7.375,7.637
637.572443,-583.892463,7.39,7.657
636.604603,-588.798262,7.405,7.677
635.636781,-593.704071,7.419,7.698
634.668979,-598.609892,7.434,7.718
633.7012,-603.515725,7.449,7.738
632.733448,-608.421573,7.464,7.758
631.765725,-613.327438,7.479,7.779
630.798034,-618.233321,7.493,7.799
629.830379,-623.139223,7.508,7.819
628.862762,-628.045147,7.523,7.839
627.895186,-632.951094,7.538,7.86
626.927654,-637.857065,7.553,7.88
625.960169,-642.763063,7.567,7.9
624.992734,-647.669089,7.582,7.92
624.025352,-652.575145,7.597,7.941
623.058026,-657.481231,7.612,7.961
622.090759,-662.387351,7.627,7.981
621.123554,-667.293506,7.642,8.001
620.156414,-672.199696,7.656,8.021
619.189342,-677.105925,7.671,8.042
618.22234,-682.012193,7.686,8.062
617.255412,-686.918503,7.701,8.082
616.288561,-691.824855,7.716,8.102
615.32179,-696.731252,7.73,8.123
614.355101,-701.637696,7.745,8.143
613.388498,-706.544187,7.76,8.163
612.421963,-711.450717,7.775,8.183
611.455443,-716.357262,7.79,8.204
610.48888,-721.263791,7.804,8.224
609.522217,-726.170278,7.819,8.244
608.555396,-731.076695,7.834,8.264
607.588361,-735.983013,7.849,8.285
606.621053,-740.889205,7.864,8.305
605.653416,-745.795243,7.878,8.325
604.685314,-750.701063,7.893,8.345
603.714614,-755.6057,7.908,8.366
602.737073,-760.507234,7.923,8.386
601.759737,-765.40728,7.938,8.406
600.825607,-770.318758,7.952,8.426
599.890644,-775.235252,7.967,8.447
598.614239,-780.082359,7.991,8.499
596.613298,-784.64867,8.21,9.279
593.554376,-788.334356,8.43,10.059
589.316876,-790.692472,9.165,10.645
584.413248,-791.989684,9.932,11.219
579.433411,-792.615723,10.699,11.794
574.520747,-792.807704,10.46,11.008
569.574922,-792.707633,10.083,10.035
564.585165,-792.373588,9.582,9.455
559.59267,-791.817033,8.961,9.253
554.639207,-791.048917,8.413,9.102
549.754414,-790.074935,8.648,9.49
544.879955,-788.825421,8.883,9.879
540.481715,-786.694868,9.102,10.24
536.98188,-783.302626,9.068,10.143
533.85405,-779.388306,9.034,10.046
530.719554,-775.473067,9,9.95
527.559739,-771.586423,8.965,9.853
524.386392,-767.716317,8.931,9.756
521.211219,-763.850773,8.897,9.66
518.041194,-759.982516,8.863,9.563
514.876086,-756.111432,8.828,9.466
511.715057,-752.23801,8.794,9.37
508.557268,-748.362737,8.76,9.273
505.401882,-744.486099,8.726,9.176
502.248063,-740.608586,8.691,9.08
499.094971,-736.730684,8.657,8.983
495.94177,-732.852882,8.623,8.886
492.787622,-728.975666,8.588,8.79
489.63169,-725.099524,8.554,8.693
486.473135,-721.224944,8.52,8.596
483.311121,-717.352414,8.486,8.5
480.144809,-713.482421,8.451,8.403
476.973362,-709.615452,8.417,8.306
473.795942,-705.751996,8.383,8.21
470.611713,-701.89254,8.349,8.113
467.419702,-698.037727,8.314,8.016
464.216465,-694.191102,8.28,7.92
460.996371,-690.358766,8.246,7.823
457.753714,-686.546911,8.135,7.653
454.482791,-682.761727,7.978,7.437
451.177896,-679.009405,7.82,7.222
447.833323,-675.296136,7.663,7.006
444.443368,-671.62811,7.506,6.791
441.002332,-668.01151,7.348,6.576
437.507575,-664.449113,7.191,6.36
433.964272,-660.934991,7.033,6.145
430.37883,-657.461842,6.876,5.93
426.757656,-654.022365,6.757,6.072
423.107155,-650.609261,6.641,6.237
419.433735,-647.215229,6.525,6.403
415.743802,-643.832967,6.418,6.558
412.043764,-640.455175,6.514,6.44
408.337296,-637.078564,6.611,6.323
404.604791,-633.734075,6.708,6.205
400.814842,-630.469988,6.805,6.087
396.935953,-627.334718,6.901,5.969
392.936996,-624.37614,6.998,5.852
388.805597,-621.614769,6.919,5.903
384.556596,-619.031415,6.768,6.025
380.206971,-616.603765,6.617,6.146
375.773702,-614.30951,6.466,6.267
371.273465,-612.126416,6.385,6.321
366.721599,-610.032595,6.377,6.304
362.133064,-608.006256,6.37,6.286
357.522824,-606.025607,6.363,6.269
352.905839,-604.068856,6.309,6.304
348.297071,-602.114213,6.173,6.431
343.711482,-600.139886,6.036,6.558
339.164034,-598.124082,5.899,6.685
334.674149,-596.036654,5.763,6.812
330.337649,-593.704293,5.626,6.939
326.314388,-590.833972,5.626,6.979
322.72154,-587.289187,5.667,6.994
319.57009,-583.314101,5.708,7.008
316.854597,-579.128695,5.749,7.023
314.56729,-574.76431,5.817,6.97
312.700058,-570.224948,5.889,6.907
311.24476,-565.514657,5.961,6.843
310.185431,-560.65009,6.009,6.857
309.487953,-555.677132,6.046,6.912
309.115638,-550.645808,6.083,6.966
309.0318,-545.606141,6.12,7.021
309.197598,-540.602684,6.156,7.07
309.557836,-535.638443,6.18,6.979
310.049807,-530.697354,6.203,6.887
310.610768,-525.763253,6.227,6.796
311.184649,-520.821403,6.251,6.704
311.765687,-515.867839,6.275,6.613
312.371055,-510.903502,6.298,6.521
313.018045,-505.929359,6.322,6.43
313.722686,-500.946449,6.346,6.338
314.45082,-495.958662,6.402,6.147
315.102397,-490.973629,6.468,5.926
315.572894,-485.999238,6.535,5.705
315.758894,-481.04333,6.601,5.485
315.600546,-476.112014,6.662,5.274
315.094907,-471.209137,6.563,5.384
314.242871,-466.338393,6.463,5.494
313.045333,-461.503475,6.364,5.604
311.504283,-456.717106,6.301,5.668
309.626032,-452.027604,6.346,5.599
307.417955,-447.492048,6.392,5.531
304.887429,-443.167522,6.437,5.463
302.04724,-439.095848,6.468,5.43
